Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Transect,Trans,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Ca,type,commentaire,fond
14,14,6,2001,Glandry,4750.384,6504.084,4750.379,6504.17,29,AB1,1,14,,,,0,0,1,0,1,1,Simple,,
15,14,6,2001,Glandry,4750.384,6504.084,4750.379,6504.17,29,AB1,1,15,,,,0,0,0,0,1,1,Simple,,
16,14,6,2001,Glandry,4750.384,6504.084,4750.379,6504.17,29,AB1,1,16,,,,0,0,0,0,1,1,Simple,,
17,14,6,2001,Glandry,4750.384,6504.084,4750.379,6504.17,29,AB1,1,17,m,20,,0,0,0,0,1,1,Simple,,
18,14,6,2001,Glandry,4750.384,6504.084,4750.379,6504.17,29,AB1,1,17,m,15,,0,0,0,0,1,1,Simple,,
19,14,6,2001,Glandry,4750.384,6504.084,4750.379,6504.17,29,AB1,1,18,m,61,,0,0,0,0,1,1,Simple,,
20,14,6,2001,Glandry,4750.384,6504.084,4750.379,6504.17,29,AB1,1,18,m,39,,0,0,0,0,1,1,Simple,,
22,14,6,2001,Glandry,4750.384,6504.084,4750.379,6504.17,29,AB1,1,20,m,20,,0,0,0,0,0,1,Simple,,
36,14,6,2001,Mcomeau,4750.384,6504.084,4750.379,6504.17,29,AB1,1,14,,,,0,0,1,0,1,1,Simple,,
37,14,6,2001,Mcomeau,4750.384,6504.084,4750.379,6504.17,29,AB1,1,15,,,,0,0,0,0,0,1,Simple,,
38,14,6,2001,Mcomeau,4750.384,6504.084,4750.379,6504.17,29,AB1,1,16,,,,0,0,0,0,1,1,Simple,,
39,14,6,2001,Mcomeau,4750.384,6504.084,4750.379,6504.17,29,AB1,1,17,,,,0,0,0,0,1,1,Simple,,
40,14,6,2001,Mcomeau,4750.384,6504.084,4750.379,6504.17,29,AB1,1,18,,,,0,0,0,0,1,1,Simple,,
42,14,6,2001,Mcomeau,4750.384,6504.084,4750.379,6504.17,29,AB1,1,20,m,36,,0,0,0,0,0,1,Simple,,
43,14,6,2001,Mcomeau,4750.384,6504.084,4750.379,6504.17,29,AB1,1,20,f,30,,0,0,0,0,0,1,Simple,,
47,14,6,2001,Elandry,4750.355,6504.239,4750.351,6504.319,31,AB1,2,4,f,51,,0,0,0,0,1,1,Simple,,
48,14,6,2001,Elandry,4750.355,6504.239,4750.351,6504.319,31,AB1,2,4,m,65,,0,0,0,0,1,1,Simple,,
49,14,6,2001,Elandry,4750.355,6504.239,4750.351,6504.319,31,AB1,2,5,m,58,,0,0,1,0,1,1,Simple,,
49,14,6,2001,Elandry,4750.355,6504.239,4750.351,6504.319,31,AB1,2,6,,,,0,0,1,0,1,1,Simple,,
51,14,6,2001,Elandry,4750.355,6504.239,4750.351,6504.319,31,AB1,2,7,,,,0,0,1,0,1,1,Simple,,
52,14,6,2001,Elandry,4750.355,6504.239,4750.351,6504.319,31,AB1,2,8,i,33,±30,0,0,1,0,1,1,Simple,,
53,14,6,2001,Elandry,4750.355,6504.239,4750.351,6504.319,31,AB1,2,9,m,25,,0,0,1,0,1,1,Simple,,
54,14,6,2001,Elandry,4750.355,6504.239,4750.351,6504.319,31,AB1,2,9,f,25,,0,0,1,0,1,1,Simple,,
55,14,6,2001,Elandry,4750.355,6504.239,4750.351,6504.319,31,AB1,2,10,i,63,±60,0,0,1,0,1,1,Simple,,
56,14,6,2001,Elandry,4750.355,6504.239,4750.351,6504.319,31,AB1,2,10,i,35,±35,0,0,1,0,1,1,Simple,,
57,14,6,2001,Elandry,4750.355,6504.239,4750.351,6504.319,31,AB1,2,11,,,,0,0,1,0,1,1,Simple,,
58,14,6,2001,Elandry,4750.355,6504.239,4750.351,6504.319,31,AB1,2,12,i,26,±25,0,0,1,0,1,1,Simple,,
59,14,6,2001,Elandry,4750.355,6504.239,4750.351,6504.319,31,AB1,2,13,m,45,,0,0,1,0,1,1,Simple,,
60,14,6,2001,Elandry,4750.355,6504.239,4750.351,6504.319,31,AB1,2,14,f,28,,0,0,1,0,1,1,Simple,,
61,14,6,2001,Elandry,4750.355,6504.239,4750.351,6504.319,31,AB1,2,14,m,63,,0,0,1,0,1,1,Simple,,
62,14,6,2001,Elandry,4750.355,6504.239,4750.351,6504.319,31,AB1,2,15,f,50,,0,0,1,0,1,1,Simple,,
65,14,6,2001,Elandry,4750.355,6504.239,4750.351,6504.319,31,AB1,2,18,m,36,,0,0,1,0,0,1,Simple,,
66,14,6,2001,Elandry,4750.355,6504.239,4750.351,6504.319,31,AB1,2,18,f,56,,0,0,1,0,0,1,Simple,,
67,14,6,2001,Elandry,4750.355,6504.239,4750.351,6504.319,31,AB1,2,19,,,,0,0,1,0,0,1,Simple,,
68,14,6,2001,Elandry,4750.355,6504.239,4750.351,6504.319,31,AB1,2,20,m,50,,0,0,1,0,1,1,Simple,,
69,14,6,2001,Elandry,4750.355,6504.239,4750.351,6504.319,31,AB1,2,20,m,61,,0,0,1,0,1,1,Simple,,
70,14,6,2001,Elandry,4750.355,6504.239,4750.351,6504.319,31,AB1,2,20,f,51,,0,0,1,0,1,1,Simple,,
74,14,6,2001,Mcomeau,4750.355,6504.239,4750.351,6504.319,31,AB1,2,4,b,133,,0,0,0,0,1,1,Simple,,
75,14,6,2001,Mcomeau,4750.355,6504.239,4750.351,6504.319,31,AB1,2,5,m,37,,0,0,0,0,1,1,Simple,,
76,14,6,2001,Mcomeau,4750.355,6504.239,4750.351,6504.319,31,AB1,2,5,m,44,,0,0,0,0,1,1,Simple,,
77,14,6,2001,Mcomeau,4750.355,6504.239,4750.351,6504.319,31,AB1,2,6,i,72,canner,0,0,0,0,1,1,Simple,,
78,14,6,2001,Mcomeau,4750.355,6504.239,4750.351,6504.319,31,AB1,2,6,f,46,,0,0,0,0,1,1,Simple,,
79,14,6,2001,Mcomeau,4750.355,6504.239,4750.351,6504.319,31,AB1,2,7,f,39,,0,0,0,0,1,1,Simple,,
80,14,6,2001,Mcomeau,4750.355,6504.239,4750.351,6504.319,31,AB1,2,7,i,31,±30,0,0,0,0,1,1,Simple,,
81,14,6,2001,Mcomeau,4750.355,6504.239,4750.351,6504.319,31,AB1,2,8,f,25,,0,0,0,0,1,1,Simple,,
82,14,6,2001,Mcomeau,4750.355,6504.239,4750.351,6504.319,31,AB1,2,9,f,55,,0,0,0,0,1,1,Simple,,
83,14,6,2001,Mcomeau,4750.355,6504.239,4750.351,6504.319,31,AB1,2,9,m,25,,0,0,0,0,1,1,Simple,,
84,14,6,2001,Mcomeau,4750.355,6504.239,4750.351,6504.319,31,AB1,2,10,f,61,,0,0,0,0,1,1,Simple,,
85,14,6,2001,Mcomeau,4750.355,6504.239,4750.351,6504.319,31,AB1,2,11,,,,0,0,0,0,1,1,Simple,,
86,14,6,2001,Mcomeau,4750.355,6504.239,4750.351,6504.319,31,AB1,2,12,m,42,,0,0,0,0,1,1,Simple,,
87,14,6,2001,Mcomeau,4750.355,6504.239,4750.351,6504.319,31,AB1,2,13,,,,0,0,0,0,1,1,Simple,,
88,14,6,2001,Mcomeau,4750.355,6504.239,4750.351,6504.319,31,AB1,2,14,,,,0,0,0,0,1,1,Simple,,
89,14,6,2001,Mcomeau,4750.355,6504.239,4750.351,6504.319,31,AB1,2,15,m,37,,0,0,0,0,1,1,Simple,,
91,14,6,2001,Mcomeau,4750.355,6504.239,4750.351,6504.319,31,AB1,2,17,f,47,,0,0,0,0,1,1,Simple,,
92,14,6,2001,Mcomeau,4750.355,6504.239,4750.351,6504.319,31,AB1,2,18,,,,0,0,0,0,1,1,Simple,,
93,14,6,2001,Mcomeau,4750.355,6504.239,4750.351,6504.319,31,AB1,2,19,m,51,,0,0,0,0,1,1,Simple,,
94,14,6,2001,Mcomeau,4750.355,6504.239,4750.351,6504.319,31,AB1,2,20,m,33,,0,0,0,0,1,1,Simple,,
98,18,6,2001,Mcomeau,4750.466,6503.887,4750.466,6503.967,31,AB1,3,4,,,,0,0,1,0,0,1,Simple,,
99,18,6,2001,Mcomeau,4750.466,6503.887,4750.466,6503.967,31,AB1,3,5,,,,0,0,0,0,1,1,Simple,,
100,18,6,2001,Mcomeau,4750.466,6503.887,4750.466,6503.967,31,AB1,3,6,m,44,,0,0,0,0,1,1,Simple,,
101,18,6,2001,Mcomeau,4750.466,6503.887,4750.466,6503.967,31,AB1,3,7,m,61,,0,0,0,0,1,1,Simple,,
102,18,6,2001,Mcomeau,4750.466,6503.887,4750.466,6503.967,31,AB1,3,7,f,72,,0,0,0,0,1,1,Simple,,
103,18,6,2001,Mcomeau,4750.466,6503.887,4750.466,6503.967,31,AB1,3,8,,,,0,0,0,0,1,1,Simple,,
106,18,6,2001,Mcomeau,4750.466,6503.887,4750.466,6503.967,31,AB1,3,11,,,,0,0,1,0,1,1,Simple,,
111,18,6,2001,Mcomeau,4750.466,6503.887,4750.466,6503.967,31,AB1,3,16,,,,0,0,1,0,0,1,Simple,,
113,18,6,2001,Mcomeau,4750.466,6503.887,4750.466,6503.967,31,AB1,3,18,,,,0,0,1,0,1,1,Simple,,
114,18,6,2001,Mcomeau,4750.466,6503.887,4750.466,6503.967,31,AB1,3,19,,,,0,0,1,0,1,1,Simple,,
115,18,6,2001,Mcomeau,4750.466,6503.887,4750.466,6503.967,31,AB1,3,20,m,47,,0,0,1,0,1,1,Simple,,
121,18,6,2001,Glandry,4750.466,6503.887,4750.466,6503.967,31,AB1,3,6,m,60,,0,0,1,1,0,1,Simple,,
122,18,6,2001,Glandry,4750.466,6503.887,4750.466,6503.967,31,AB1,3,7,f,53,,0,0,1,1,0,1,Simple,,
123,18,6,2001,Glandry,4750.466,6503.887,4750.466,6503.967,31,AB1,3,8,,,,0,0,1,1,0,1,Simple,,
124,18,6,2001,Glandry,4750.466,6503.887,4750.466,6503.967,31,AB1,3,9,,,,0,0,1,0,0,1,Simple,,
125,18,6,2001,Glandry,4750.466,6503.887,4750.466,6503.967,31,AB1,3,10,,,,0,0,1,0,0,1,Simple,,
126,18,6,2001,Glandry,4750.466,6503.887,4750.466,6503.967,31,AB1,3,11,f,36,,0,0,1,0,0,1,Simple,,
127,18,6,2001,Glandry,4750.466,6503.887,4750.466,6503.967,31,AB1,3,11,m,45,,0,0,1,0,0,1,Simple,,
130,18,6,2001,Glandry,4750.466,6503.887,4750.466,6503.967,31,AB1,3,14,,,,0,0,1,0,0,1,Simple,,
131,18,6,2001,Glandry,4750.466,6503.887,4750.466,6503.967,31,AB1,3,15,,,,0,0,1,0,0,1,Simple,,
132,18,6,2001,Glandry,4750.466,6503.887,4750.466,6503.967,31,AB1,3,16,,,,0,0,1,0,0,1,Simple,,
133,18,6,2001,Glandry,4750.466,6503.887,4750.466,6503.967,31,AB1,3,17,,,,0,0,1,0,0,1,Simple,,
134,18,6,2001,Glandry,4750.466,6503.887,4750.466,6503.967,31,AB1,3,18,f,34,,0,0,1,0,0,1,Simple,,
135,18,6,2001,Glandry,4750.466,6503.887,4750.466,6503.967,31,AB1,3,19,,,,0,0,1,0,0,1,Simple,,
136,18,6,2001,Glandry,4750.466,6503.887,4750.466,6503.967,31,AB1,3,20,i,71,canner,0,0,1,0,0,1,Simple,,
137,18,6,2001,Mcomeau,4750.454,6504.087,4750.462,6503.999,31,AB1,4,1,i,86,Market,0,0,0,0,1,1,Simple,,
138,18,6,2001,Mcomeau,4750.454,6504.087,4750.462,6503.999,31,AB1,4,2,f,58,,0,0,1,0,0,1,Simple,,
142,18,6,2001,Mcomeau,4750.454,6504.087,4750.462,6503.999,31,AB1,4,6,,,,0,0,1,0,0,1,Simple,,
145,18,6,2001,Mcomeau,4750.454,6504.087,4750.462,6503.999,31,AB1,4,9,,,,0,0,1,0,0,0,Simple,,
148,18,6,2001,Mcomeau,4750.454,6504.087,4750.462,6503.999,31,AB1,4,12,,,,0,0,1,0,0,1,Simple,,
149,18,6,2001,Mcomeau,4750.454,6504.087,4750.462,6503.999,31,AB1,4,13,,,,0,0,1,0,1,1,Simple,,
150,18,6,2001,Mcomeau,4750.454,6504.087,4750.462,6503.999,31,AB1,4,14,,,,0,0,0,0,0,1,Simple,,
151,18,6,2001,Mcomeau,4750.454,6504.087,4750.462,6503.999,31,AB1,4,15,,,,0,0,0,0,1,1,Simple,,
152,18,6,2001,Mcomeau,4750.454,6504.087,4750.462,6503.999,31,AB1,4,16,m,36,,0,0,1,0,1,1,Simple,,
155,18,6,2001,Mcomeau,4750.454,6504.087,4750.462,6503.999,31,AB1,4,19,f,41,,0,0,1,0,0,1,Simple,,
156,18,6,2001,Mcomeau,4750.454,6504.087,4750.462,6503.999,31,AB1,4,20,f,47,,0,0,0,0,1,1,Simple,,
157,18,6,2001,Mcomeau,4750.454,6504.087,4750.462,6503.999,31,AB1,4,20,m,68,,0,0,0,0,1,1,Simple,,
158,18,6,2001,Glandry,4750.454,6504.087,4750.462,6503.999,31,AB1,4,1,,,,0,0,1,0,0,1,Simple,,
159,18,6,2001,Glandry,4750.454,6504.087,4750.462,6503.999,31,AB1,4,2,,,,0,0,1,0,0,1,Simple,,
160,18,6,2001,Glandry,4750.454,6504.087,4750.462,6503.999,31,AB1,4,3,,,,0,0,1,0,0,1,Simple,,
163,18,6,2001,Glandry,4750.454,6504.087,4750.462,6503.999,31,AB1,4,6,,,,0,0,1,0,0,1,Simple,,
164,18,6,2001,Glandry,4750.454,6504.087,4750.462,6503.999,31,AB1,4,7,,,,0,0,1,0,0,1,Simple,,
165,18,6,2001,Glandry,4750.454,6504.087,4750.462,6503.999,31,AB1,4,8,b,70,,0,0,1,0,0,1,Simple,,
166,18,6,2001,Glandry,4750.454,6504.087,4750.462,6503.999,31,AB1,4,8,f,57,,0,0,1,0,0,1,Simple,,
167,18,6,2001,Glandry,4750.454,6504.087,4750.462,6503.999,31,AB1,4,9,,,,0,0,1,0,0,1,Simple,,
168,18,6,2001,Glandry,4750.454,6504.087,4750.462,6503.999,31,AB1,4,10,,,,0,0,1,0,0,1,Simple,,
170,18,6,2001,Glandry,4750.454,6504.087,4750.462,6503.999,31,AB1,4,12,,,,0,0,1,0,0,1,Simple,,
171,18,6,2001,Glandry,4750.454,6504.087,4750.462,6503.999,31,AB1,4,13,,,,0,0,1,0,0,1,Simple,,
172,18,6,2001,Glandry,4750.454,6504.087,4750.462,6503.999,31,AB1,4,14,,,,0,0,1,0,0,1,Simple,,
173,18,6,2001,Glandry,4750.454,6504.087,4750.462,6503.999,31,AB1,4,15,,,,0,0,1,0,0,1,Simple,,
174,18,6,2001,Glandry,4750.454,6504.087,4750.462,6503.999,31,AB1,4,16,f,42,,0,0,1,0,0,0,Simple,,
177,18,6,2001,Glandry,4750.454,6504.087,4750.462,6503.999,31,AB1,4,19,,,,0,0,1,0,0,1,Simple,,
178,18,6,2001,Glandry,4750.454,6504.087,4750.462,6503.999,31,AB1,4,20,,,,0,0,1,0,0,1,Simple,,
179,19,6,2001,Mcomeau,4750.64,6503.044,4750.625,6502.957,29,AB1,5,1,,,,0,0,1,0,1,1,Simple,,
180,19,6,2001,Mcomeau,4750.64,6503.044,4750.625,6502.957,29,AB1,5,2,,,,0,0,1,0,1,1,Simple,,
181,19,6,2001,Mcomeau,4750.64,6503.044,4750.625,6502.957,29,AB1,5,3,m,29,,0,0,1,0,1,1,Simple,,
182,19,6,2001,Mcomeau,4750.64,6503.044,4750.625,6502.957,29,AB1,5,4,m,39,,0,0,1,0,1,1,Simple,,
188,19,6,2001,Mcomeau,4750.64,6503.044,4750.625,6502.957,29,AB1,5,10,f,23,,0,0,1,0,1,1,Simple,,
189,19,6,2001,Mcomeau,4750.64,6503.044,4750.625,6502.957,29,AB1,5,10,f,48,,0,0,1,0,1,1,Simple,,
190,19,6,2001,Mcomeau,4750.64,6503.044,4750.625,6502.957,29,AB1,5,11,,,,0,0,1,0,0,1,Simple,,
192,19,6,2001,Mcomeau,4750.64,6503.044,4750.625,6502.957,29,AB1,5,13,m,45,,0,0,1,0,0,1,Simple,,
196,19,6,2001,Mcomeau,4750.64,6503.044,4750.625,6502.957,29,AB1,5,17,,,,0,0,1,0,0,1,Simple,,
197,19,6,2001,Mcomeau,4750.64,6503.044,4750.625,6502.957,29,AB1,5,18,m,27,,0,0,1,0,0,1,Simple,,
199,19,6,2001,Mcomeau,4750.64,6503.044,4750.625,6502.957,29,AB1,5,20,,,,0,0,1,0,0,1,Simple,,
200,19,6,2001,Glandry,4750.64,6503.044,4750.625,6502.957,29,AB1,5,1,,,,0,0,1,0,0,1,Simple,,
201,19,6,2001,Glandry,4750.64,6503.044,4750.625,6502.957,29,AB1,5,2,,,,0,0,1,0,0,1,Simple,,
204,19,6,2001,Glandry,4750.64,6503.044,4750.625,6502.957,29,AB1,5,5,m,54,,0,0,1,0,0,1,Simple,,
205,19,6,2001,Glandry,4750.64,6503.044,4750.625,6502.957,29,AB1,5,6,,,,0,0,1,0,0,1,Simple,,
206,19,6,2001,Glandry,4750.64,6503.044,4750.625,6502.957,29,AB1,5,7,,,,0,0,1,0,0,1,Simple,,
209,19,6,2001,Glandry,4750.64,6503.044,4750.625,6502.957,29,AB1,5,10,,,,0,0,1,0,0,1,Simple,,
210,19,6,2001,Glandry,4750.64,6503.044,4750.625,6502.957,29,AB1,5,11,,,,0,0,1,0,0,1,Simple,,
216,19,6,2001,Glandry,4750.64,6503.044,4750.625,6502.957,29,AB1,5,17,f,25,,0,0,1,0,0,1,Simple,,
217,19,6,2001,Glandry,4750.64,6503.044,4750.625,6502.957,29,AB1,5,17,m,38,,0,0,1,0,0,1,Simple,,
218,19,6,2001,Glandry,4750.64,6503.044,4750.625,6502.957,29,AB1,5,18,,,,0,0,1,0,0,1,Simple,,
221,19,6,2001,Rvienneau,4750.669,6503.011,4750.663,6502.921,29,AB1,6,1,f,39,,0,0,0,0,1,1,Simple,,
222,19,6,2001,Rvienneau,4750.669,6503.011,4750.663,6502.921,29,AB1,6,2,f,60,,0,0,0,0,1,1,Simple,,
223,19,6,2001,Rvienneau,4750.669,6503.011,4750.663,6502.921,29,AB1,6,3,m,61,,0,0,0,0,1,1,Simple,,
224,19,6,2001,Rvienneau,4750.669,6503.011,4750.663,6502.921,29,AB1,6,4,,,,0,0,0,0,1,0,Simple,,
225,19,6,2001,Rvienneau,4750.669,6503.011,4750.663,6502.921,29,AB1,6,5,f,45,,0,0,0,0,1,0,Simple,,
226,19,6,2001,Rvienneau,4750.669,6503.011,4750.663,6502.921,29,AB1,6,6,f,47,,0,0,1,0,0,1,Simple,,
227,19,6,2001,Rvienneau,4750.669,6503.011,4750.663,6502.921,29,AB1,6,7,f,63,,0,0,1,0,0,1,Simple,,
228,19,6,2001,Rvienneau,4750.669,6503.011,4750.663,6502.921,29,AB1,6,8,,,,0,0,1,0,0,1,Simple,,
229,19,6,2001,Rvienneau,4750.669,6503.011,4750.663,6502.921,29,AB1,6,9,,,,0,0,1,0,0,1,Simple,,
230,19,6,2001,Rvienneau,4750.669,6503.011,4750.663,6502.921,29,AB1,6,10,,,,0,0,1,0,0,1,Simple,,
231,19,6,2001,Rvienneau,4750.669,6503.011,4750.663,6502.921,29,AB1,6,11,f,35,,0,0,1,0,0,1,Simple,,
232,19,6,2001,Rvienneau,4750.669,6503.011,4750.663,6502.921,29,AB1,6,12,,,,0,0,1,0,0,1,Simple,,
233,19,6,2001,Rvienneau,4750.669,6503.011,4750.663,6502.921,29,AB1,6,13,,,,0,0,1,0,0,1,Simple,,
234,19,6,2001,Rvienneau,4750.669,6503.011,4750.663,6502.921,29,AB1,6,14,f,47,,0,0,1,0,0,1,Simple,,
235,19,6,2001,Rvienneau,4750.669,6503.011,4750.663,6502.921,29,AB1,6,15,b,71,,0,0,1,0,0,1,Simple,,
236,19,6,2001,Rvienneau,4750.669,6503.011,4750.663,6502.921,29,AB1,6,16,,,,0,0,1,0,0,1,Simple,,
237,19,6,2001,Rvienneau,4750.669,6503.011,4750.663,6502.921,29,AB1,6,17,f,59,,0,0,1,0,0,1,Simple,,
238,19,6,2001,Rvienneau,4750.669,6503.011,4750.663,6502.921,29,AB1,6,17,i,85,Market,0,0,1,0,0,1,Simple,,
239,19,6,2001,Rvienneau,4750.669,6503.011,4750.663,6502.921,29,AB1,6,18,f,47,,0,0,1,0,0,1,Simple,,
240,19,6,2001,Rvienneau,4750.669,6503.011,4750.663,6502.921,29,AB1,6,18,f,60,,0,0,1,0,0,1,Simple,,
241,19,6,2001,Rvienneau,4750.669,6503.011,4750.663,6502.921,29,AB1,6,18,f,43,,0,0,1,0,0,1,Simple,,
243,19,6,2001,Rvienneau,4750.669,6503.011,4750.663,6502.921,29,AB1,6,20,m,56,,0,0,1,0,0,0,Simple,,
244,19,6,2001,Bcomeau,4750.669,6503.011,4750.663,6502.921,29,AB1,6,1,m,55,,0,0,0,0,1,1,Simple,,
245,19,6,2001,Bcomeau,4750.669,6503.011,4750.663,6502.921,29,AB1,6,2,m,59,,0,0,0,0,1,0,Simple,,
246,19,6,2001,Bcomeau,4750.669,6503.011,4750.663,6502.921,29,AB1,6,3,,,,0,0,0,0,1,0,Simple,,
247,19,6,2001,Bcomeau,4750.669,6503.011,4750.663,6502.921,29,AB1,6,4,,,,0,0,0,0,1,0,Simple,,
248,19,6,2001,Bcomeau,4750.669,6503.011,4750.663,6502.921,29,AB1,6,5,f,57,,0,0,0,0,1,1,Simple,,
249,19,6,2001,Bcomeau,4750.669,6503.011,4750.663,6502.921,29,AB1,6,5,m,31,,0,0,0,0,1,1,Simple,,
250,19,6,2001,Bcomeau,4750.669,6503.011,4750.663,6502.921,29,AB1,6,6,,,,0,0,0,0,1,0,Simple,,
251,19,6,2001,Bcomeau,4750.669,6503.011,4750.663,6502.921,29,AB1,6,7,f,51,,0,0,0,0,1,0,Simple,,
252,19,6,2001,Bcomeau,4750.669,6503.011,4750.663,6502.921,29,AB1,6,8,m,31,,0,0,0,0,1,0,Simple,,
253,19,6,2001,Bcomeau,4750.669,6503.011,4750.663,6502.921,29,AB1,6,8,f,54,,0,0,0,0,1,0,Simple,,
254,19,6,2001,Bcomeau,4750.669,6503.011,4750.663,6502.921,29,AB1,6,9,f,42,,0,0,0,0,1,1,Simple,,
255,19,6,2001,Bcomeau,4750.669,6503.011,4750.663,6502.921,29,AB1,6,9,f,65,,0,0,0,0,1,1,Simple,,
